age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
30.0,blue-collar,unknown,high.school,unknown,yes,no,cellular,may,mon,232.5,2,1,failure,no,Seixal
43.0,unknown,married,professional.course,no,yes,yes,cellular,aug,wed,744.0,5,0,nonexistent,no,unknown
30.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,thu,232.5,3,0,nonexistent,no,Valongo
36.0,unemployed,married,basic.9y,unknown,yes,yes,cellular,may,thu,114.0,2,0,nonexistent,no,Santa Comba Dão
28.0,services,married,high.school,no,yes,no,telephone,may,fri,79.0,1,0,nonexistent,no,Valongo
39.0,admin.,married,university.degree,no,no,no,telephone,may,fri,208.0,2,0,nonexistent,no,Ermesinde
30.0,blue-collar,unknown,basic.9y,no,no,yes,telephone,may,mon,535.0,6,0,nonexistent,no,Caniço
27.0,student,single,university.degree,no,yes,no,telephone,may,tue,232.5,1,0,nonexistent,no,Ovar
37.0,admin.,married,university.degree,no,no,no,telephone,may,wed,209.0,2,0,nonexistent,no,Câmara de Lobos
51.0,unknown,single,basic.9y,no,yes,no,telephone,nov,fri,218.0,3,0,nonexistent,no,unknown
31.0,technician,divorced,high.school,no,yes,no,cellular,aug,fri,232.5,3,0,nonexistent,no,Agualva-Cacém
44.0,self-employed,married,university.degree,no,no,no,cellular,nov,fri,89.0,4,0,nonexistent,no,Esposende
42.0,technician,married,high.school,unknown,yes,no,cellular,jul,wed,197.0,1,0,nonexistent,no,Vila Nova de Santo André
50.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,222.0,1,0,nonexistent,no,Mirandela
53.0,admin.,divorced,basic.9y,no,no,yes,cellular,may,fri,164.0,1,0,nonexistent,no,Gouveia
47.0,services,divorced,high.school,no,no,no,telephone,may,mon,179.0,2,0,nonexistent,no,Fátima
35.0,unknown,married,basic.4y,unknown,unknown,unknown,cellular,aug,wed,227.0,3,0,nonexistent,no,unknown
29.0,services,married,basic.9y,no,yes,no,cellular,may,thu,302.0,1,1,failure,no,Barreiro
39.0,blue-collar,single,basic.6y,unknown,yes,no,cellular,may,wed,686.0,1,0,nonexistent,no,Câmara de Lobos
35.0,technician,single,university.degree,no,yes,no,cellular,may,mon,271.0,2,0,nonexistent,no,Vila do Conde
34.0,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,232.5,1,1,failure,no,Santana
31.0,technician,divorced,basic.9y,no,no,no,telephone,may,tue,235.0,2,0,nonexistent,no,Vila Nova de Santo André
30.0,services,single,high.school,no,no,no,cellular,nov,thu,232.5,2,0,nonexistent,no,Seixal
25.0,admin.,single,university.degree,no,no,yes,cellular,aug,thu,112.0,1,0,nonexistent,no,Esposende
42.0,admin.,divorced,university.degree,no,no,no,telephone,may,wed,232.5,1,0,nonexistent,no,Loulé
39.0,admin.,married,university.degree,no,no,no,cellular,may,fri,301.0,1,1,failure,no,Torres Vedras
44.0,blue-collar,married,basic.4y,no,yes,no,cellular,jul,fri,65.0,5,0,nonexistent,no,Albufeira
37.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,89.0,2,0,nonexistent,no,Porto
30.0,services,married,university.degree,no,yes,no,telephone,may,wed,232.5,6,0,nonexistent,no,Gondomar
25.0,admin.,single,university.degree,no,yes,no,cellular,jul,thu,174.0,2,0,nonexistent,no,Esposende
43.0,admin.,married,university.degree,no,no,no,cellular,jun,mon,108.0,1,1,failure,no,Rebordosa
43.0,management,married,university.degree,no,yes,no,telephone,may,fri,339.0,4,0,nonexistent,no,Silves
33.0,blue-collar,single,basic.9y,no,yes,no,cellular,may,fri,392.0,1,1,failure,no,Funchal
28.0,technician,single,university.degree,no,no,no,telephone,jun,mon,125.0,2,0,nonexistent,no,Barreiro
32.0,technician,married,unknown,no,no,no,telephone,apr,thu,130.0,1,0,nonexistent,no,Pinhel
30.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,232.5,3,0,nonexistent,no,Queluz
32.0,entrepreneur,married,high.school,unknown,yes,no,telephone,jun,thu,232.5,1,0,nonexistent,no,Mealhada
41.0,unknown,married,high.school,no,yes,yes,cellular,jul,thu,232.5,3,0,nonexistent,no,unknown
53.0,entrepreneur,unknown,unknown,no,yes,no,telephone,jun,thu,154.0,3,0,nonexistent,no,Guimarães
31.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,284.0,1,0,nonexistent,no,Rio Tinto
34.0,blue-collar,married,professional.course,no,yes,yes,telephone,jun,mon,232.5,1,0,nonexistent,no,Ribeira Grande
58.0,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,72.0,3,0,nonexistent,no,Esposende
40.0,technician,single,high.school,no,yes,no,cellular,aug,fri,73.0,1,0,nonexistent,no,Silves
41.0,technician,unknown,professional.course,no,no,no,cellular,aug,tue,232.5,1,0,nonexistent,no,Oliveira do Hospital
30.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,232.5,1,0,nonexistent,no,Tondela
24.0,services,single,professional.course,no,yes,no,cellular,jul,wed,55.0,1,0,nonexistent,no,Ribeira Grande
33.0,admin.,married,university.degree,no,no,no,cellular,aug,fri,127.0,5,0,nonexistent,no,Gafanha da Nazaré
57.0,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,wed,367.0,2,0,nonexistent,no,Gouveia
35.0,admin.,single,university.degree,no,unknown,unknown,cellular,apr,mon,232.5,2,1,failure,no,Gouveia
40.0,unknown,single,university.degree,no,yes,no,telephone,aug,wed,554.0,5,0,nonexistent,no,unknown
55.0,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,469.0,7,0,nonexistent,no,Ermesinde
52.0,admin.,married,high.school,no,yes,no,cellular,may,mon,17.0,1,0,nonexistent,no,Esmoriz
36.0,management,unknown,unknown,no,yes,no,cellular,nov,tue,240.0,3,1,failure,no,Anadia
36.0,blue-collar,single,basic.9y,unknown,unknown,unknown,telephone,jun,fri,25.0,3,0,nonexistent,no,Peso da Régua
42.0,technician,married,professional.course,no,no,no,cellular,may,fri,232.5,2,0,nonexistent,no,Ílhavo
24.0,admin.,single,university.degree,no,no,no,cellular,may,mon,174.0,1,1,failure,no,Esmoriz
44.0,self-employed,married,professional.course,no,yes,no,telephone,aug,wed,116.0,5,0,nonexistent,no,Tarouca
33.0,admin.,divorced,high.school,no,no,no,cellular,apr,thu,148.0,1,0,nonexistent,no,Olhão da Restauração
40.0,services,single,high.school,unknown,no,no,cellular,nov,fri,8.0,3,0,nonexistent,no,Portimão
30.0,admin.,single,university.degree,no,no,yes,telephone,jul,tue,215.0,1,0,nonexistent,no,Fátima
41.0,services,divorced,unknown,no,no,no,telephone,may,fri,211.0,3,0,nonexistent,no,Rio Tinto
28.0,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,109.0,1,0,nonexistent,no,Barreiro
44.0,technician,married,professional.course,no,no,no,telephone,may,fri,124.0,3,0,nonexistent,no,Mealhada
30.0,services,married,high.school,unknown,yes,no,telephone,may,mon,243.0,1,0,nonexistent,no,Tondela
35.0,management,married,university.degree,no,no,no,cellular,jul,wed,232.5,1,0,nonexistent,no,Tarouca
57.0,retired,married,professional.course,no,yes,no,cellular,aug,fri,282.0,3,0,nonexistent,no,Câmara de Lobos
49.0,entrepreneur,married,basic.4y,unknown,no,no,telephone,jun,thu,285.0,1,0,nonexistent,no,Lamego
36.0,blue-collar,single,basic.9y,no,no,yes,telephone,may,thu,232.5,3,0,nonexistent,no,Évora
25.0,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,159.0,6,0,nonexistent,no,Esmoriz
31.0,technician,married,university.degree,no,no,no,telephone,nov,mon,57.0,4,0,nonexistent,no,Loures
33.0,entrepreneur,single,university.degree,no,no,no,cellular,may,thu,197.0,1,0,nonexistent,no,Gafanha da Nazaré
38.0,technician,married,unknown,no,no,no,telephone,may,thu,514.0,3,0,nonexistent,no,Lagos
30.0,blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,may,fri,140.0,1,0,nonexistent,no,Ponte de Sor
57.0,retired,married,basic.4y,unknown,no,yes,cellular,jul,mon,232.5,5,0,nonexistent,no,Mangualde
30.0,self-employed,married,professional.course,no,no,no,cellular,may,tue,34.0,2,1,failure,no,Fátima
32.0,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,wed,195.0,2,0,nonexistent,no,Caniço
51.0,services,unknown,unknown,no,yes,no,telephone,may,thu,176.0,3,0,nonexistent,no,Quarteira
34.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,263.0,8,0,nonexistent,no,Águeda
39.0,self-employed,unknown,basic.9y,no,no,no,cellular,jul,thu,232.5,1,0,nonexistent,no,Torres Novas
38.0,technician,married,university.degree,no,yes,no,cellular,may,wed,814.0,1,0,nonexistent,no,Oliveira do Bairro
35.0,technician,married,professional.course,no,yes,no,cellular,jul,tue,232.5,8,0,nonexistent,no,Valpaços
40.0,blue-collar,unknown,unknown,no,yes,no,telephone,may,wed,110.0,2,0,nonexistent,no,Câmara de Lobos
36.0,admin.,single,high.school,no,yes,no,cellular,apr,fri,140.0,1,0,nonexistent,no,Tondela
39.0,blue-collar,married,basic.6y,no,yes,yes,cellular,may,thu,195.0,1,1,failure,no,Tarouca
41.0,blue-collar,married,unknown,no,yes,no,cellular,jul,tue,232.5,1,0,nonexistent,no,Moura
34.0,unemployed,married,unknown,no,yes,no,telephone,may,fri,232.5,3,0,nonexistent,no,Mangualde
40.0,blue-collar,single,basic.4y,no,yes,no,telephone,jun,thu,160.0,2,0,nonexistent,no,Rio Tinto
46.0,technician,married,basic.9y,no,no,no,cellular,nov,tue,232.5,1,0,nonexistent,no,Covilhã
47.0,housemaid,divorced,professional.course,no,no,yes,cellular,nov,tue,253.0,1,1,failure,no,Santo Tirso
32.0,blue-collar,married,unknown,no,no,no,cellular,may,fri,76.0,2,0,nonexistent,no,Almada
36.0,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,tue,136.0,1,0,nonexistent,no,Portalegre
30.0,blue-collar,single,basic.4y,unknown,no,no,telephone,jun,wed,172.0,2,0,nonexistent,no,Esmoriz
33.0,admin.,married,high.school,no,yes,yes,telephone,may,fri,230.0,1,0,nonexistent,no,Lagoa
35.0,blue-collar,married,high.school,no,no,no,telephone,jun,thu,153.0,14,0,nonexistent,no,Praia da Vitória
29.0,admin.,single,high.school,no,yes,no,telephone,may,tue,1052.0,1,0,nonexistent,no,Tarouca
68.0,technician,married,unknown,no,no,no,cellular,dec,thu,141.0,4,0,nonexistent,no,Fafe
31.0,admin.,single,university.degree,no,no,no,cellular,mar,thu,232.5,2,0,nonexistent,no,Chaves
46.0,entrepreneur,married,unknown,unknown,yes,no,telephone,jun,fri,86.0,1,0,nonexistent,no,Fiães
30.0,unknown,married,professional.course,no,yes,no,cellular,aug,thu,232.5,4,0,nonexistent,no,unknown
50.0,blue-collar,unknown,basic.9y,no,yes,no,cellular,aug,mon,333.0,1,0,nonexistent,no,Gondomar
54.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,129.0,5,0,nonexistent,no,Figueira da Foz
22.0,student,single,high.school,no,no,no,telephone,sep,wed,13.0,1,0,nonexistent,no,Guarda
57.0,retired,married,professional.course,no,no,no,cellular,aug,wed,508.0,4,0,nonexistent,no,Oliveira de Azeméis
30.0,retired,married,high.school,no,no,no,telephone,may,fri,209.0,3,0,nonexistent,no,Vila Franca de Xira
34.0,unknown,single,university.degree,unknown,yes,no,cellular,aug,wed,184.0,1,0,nonexistent,no,unknown
53.0,technician,married,professional.course,no,no,no,cellular,nov,thu,81.0,2,1,failure,no,Agualva-Cacém
39.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,400.0,2,1,failure,no,Vila Real
50.0,admin.,married,high.school,unknown,no,no,telephone,may,wed,225.0,1,0,nonexistent,no,Odivelas
37.0,blue-collar,single,basic.9y,no,no,no,cellular,apr,fri,282.0,1,0,nonexistent,no,Gondomar
36.0,blue-collar,married,high.school,no,yes,yes,telephone,may,thu,426.0,6,0,nonexistent,no,Câmara de Lobos
30.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,232.5,1,1,failure,no,Santo Tirso
25.0,admin.,unknown,university.degree,no,yes,no,cellular,mar,fri,277.0,1,0,nonexistent,no,Valbom
34.0,technician,married,university.degree,no,no,no,cellular,nov,tue,131.0,1,0,nonexistent,no,Pinhel
44.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,15.0,7,0,nonexistent,no,Águeda
32.0,admin.,single,university.degree,no,no,no,cellular,nov,mon,232.5,1,1,failure,no,Ovar
37.0,technician,single,university.degree,no,yes,no,cellular,aug,tue,178.0,2,0,nonexistent,no,Portimão
34.0,technician,married,professional.course,no,no,no,telephone,jun,thu,320.0,1,0,nonexistent,no,Rebordosa
31.0,technician,divorced,university.degree,no,yes,no,cellular,aug,thu,132.0,1,0,nonexistent,no,Agualva-Cacém
44.0,unknown,married,basic.6y,no,no,no,cellular,apr,mon,400.0,1,0,nonexistent,no,unknown
40.0,management,married,university.degree,no,no,yes,cellular,aug,tue,454.0,3,0,nonexistent,no,Odivelas
30.0,management,single,university.degree,no,yes,yes,cellular,may,tue,228.0,1,1,failure,no,Pinhel
30.0,technician,single,university.degree,no,no,no,cellular,aug,fri,147.0,2,0,nonexistent,no,Póvoa de Santa Iria
34.0,admin.,single,university.degree,no,no,no,cellular,may,fri,134.0,2,0,nonexistent,no,Alcácer do Sal
45.0,technician,divorced,unknown,no,yes,no,telephone,may,fri,117.0,1,0,nonexistent,no,Santana
31.0,technician,married,professional.course,no,yes,no,cellular,sep,fri,232.5,4,0,nonexistent,no,Gouveia
46.0,unknown,married,basic.9y,unknown,yes,no,cellular,aug,thu,232.5,1,0,nonexistent,no,unknown
43.0,management,unknown,university.degree,no,no,no,cellular,nov,mon,179.0,1,0,nonexistent,no,São João da Madeira
29.0,unemployed,single,high.school,no,no,no,cellular,apr,wed,232.5,2,0,nonexistent,no,Tavira
25.0,student,single,unknown,no,no,no,cellular,jul,tue,170.0,1,0,nonexistent,no,Valongo
57.0,blue-collar,married,basic.4y,no,no,no,cellular,aug,thu,232.5,9,0,nonexistent,no,Póvoa de Santa Iria
42.0,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,131.0,2,0,nonexistent,no,Portalegre
47.0,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,wed,159.0,2,0,nonexistent,no,Mirandela
30.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,86.0,1,0,nonexistent,no,Esmoriz
30.0,management,divorced,university.degree,no,no,no,telephone,may,tue,35.0,1,0,nonexistent,no,Águeda
30.0,blue-collar,married,basic.9y,no,no,no,telephone,oct,tue,232.5,1,0,nonexistent,no,Oliveira do Hospital
32.0,services,single,basic.6y,no,yes,no,telephone,jun,fri,307.0,3,0,nonexistent,no,Almeirim
30.0,blue-collar,divorced,basic.9y,no,no,no,telephone,jun,mon,79.0,1,0,nonexistent,no,Odivelas
33.0,entrepreneur,married,basic.9y,unknown,no,no,cellular,nov,wed,636.0,1,0,nonexistent,no,Vila Nova de Gaia
30.0,technician,single,university.degree,no,no,no,telephone,jun,wed,232.5,3,0,nonexistent,no,Ílhavo
60.0,management,married,unknown,unknown,yes,no,cellular,jul,thu,241.0,4,0,nonexistent,no,Fundão
22.0,services,single,unknown,no,no,no,telephone,may,tue,232.5,1,0,nonexistent,no,Praia da Vitória
36.0,unknown,single,university.degree,unknown,yes,no,telephone,may,tue,165.0,2,0,nonexistent,no,unknown
38.0,admin.,married,university.degree,no,yes,no,cellular,aug,mon,317.0,1,0,nonexistent,no,Lagoa
45.0,admin.,married,high.school,no,yes,no,telephone,jun,tue,174.0,2,0,nonexistent,no,Águeda
36.0,blue-collar,married,unknown,unknown,no,no,telephone,jun,mon,280.0,1,0,nonexistent,no,Agualva-Cacém
26.0,management,single,university.degree,no,yes,no,cellular,jul,tue,154.0,1,0,nonexistent,no,Santana
34.0,technician,married,high.school,unknown,no,no,cellular,aug,tue,188.0,2,0,nonexistent,no,Odivelas
38.0,services,married,high.school,no,yes,no,cellular,may,thu,532.0,1,1,failure,no,Vendas Novas
31.0,admin.,single,basic.9y,no,yes,no,telephone,may,mon,87.0,2,0,nonexistent,no,Santa Comba Dão
45.0,self-employed,single,unknown,no,no,no,telephone,jun,wed,165.0,1,0,nonexistent,no,Setúbal
35.0,admin.,married,professional.course,no,yes,yes,telephone,may,fri,95.0,2,0,nonexistent,no,Agualva-Cacém
31.0,technician,married,professional.course,no,no,no,cellular,aug,thu,87.0,1,0,nonexistent,no,Santa Comba Dão
42.0,services,divorced,high.school,unknown,no,no,telephone,jun,thu,111.0,2,0,nonexistent,no,Esmoriz
24.0,student,single,university.degree,no,no,no,cellular,apr,mon,232.5,2,0,nonexistent,no,Gouveia
60.0,management,married,basic.4y,unknown,no,no,cellular,may,fri,65.0,2,0,nonexistent,no,Fátima
54.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,wed,303.0,1,0,nonexistent,no,Almeirim
57.0,admin.,married,university.degree,unknown,yes,no,cellular,aug,wed,247.0,3,0,nonexistent,no,Mirandela
30.0,services,single,high.school,unknown,yes,no,telephone,may,mon,85.0,3,0,nonexistent,no,Faro
35.0,admin.,single,university.degree,no,yes,no,cellular,aug,fri,299.0,4,0,nonexistent,no,Silves
45.0,admin.,married,high.school,unknown,no,yes,telephone,jul,mon,55.0,1,0,nonexistent,no,Almeirim
44.0,technician,married,professional.course,no,yes,no,cellular,apr,wed,56.0,1,1,failure,no,Câmara de Lobos
36.0,blue-collar,single,basic.9y,unknown,no,no,cellular,may,wed,233.0,3,0,nonexistent,no,Caniço
24.0,student,single,unknown,no,yes,no,cellular,sep,wed,191.0,2,3,failure,no,Vila Nova de Gaia
34.0,housemaid,married,university.degree,no,no,no,cellular,aug,thu,181.0,2,0,nonexistent,no,Costa da Caparica
42.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,232.5,3,0,nonexistent,no,Barreiro
30.0,technician,single,basic.6y,unknown,yes,no,telephone,may,thu,58.0,2,0,nonexistent,no,Lagoa
35.0,services,married,unknown,unknown,yes,yes,cellular,jul,tue,174.0,9,0,nonexistent,no,Loures
44.0,admin.,married,basic.6y,no,no,no,cellular,jul,wed,212.0,3,0,nonexistent,no,Esmoriz
39.0,blue-collar,married,professional.course,no,no,no,cellular,nov,mon,407.0,1,0,nonexistent,no,Évora
31.0,admin.,single,university.degree,no,yes,no,cellular,sep,fri,112.0,7,0,nonexistent,no,Esmoriz
29.0,admin.,single,university.degree,no,no,no,telephone,apr,fri,48.0,2,0,nonexistent,no,Odivelas
33.0,unknown,married,high.school,no,yes,no,telephone,may,fri,263.0,5,0,nonexistent,no,unknown
43.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,may,wed,240.0,1,0,nonexistent,no,Esmoriz
38.0,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,102.0,3,0,nonexistent,no,Entroncamento
59.0,admin.,divorced,university.degree,no,yes,no,cellular,apr,fri,232.5,3,0,nonexistent,no,Gondomar
50.0,technician,married,high.school,unknown,no,no,cellular,aug,tue,679.0,1,0,nonexistent,no,Almada
43.0,blue-collar,single,basic.4y,no,yes,no,cellular,nov,tue,175.0,1,1,failure,no,Rebordosa
34.0,admin.,unknown,university.degree,no,yes,no,cellular,may,fri,159.0,1,1,failure,no,Loulé
30.0,blue-collar,married,basic.9y,unknown,no,no,cellular,may,wed,155.0,1,1,failure,no,Águeda
60.0,technician,married,professional.course,unknown,no,no,cellular,jul,tue,82.0,1,0,nonexistent,no,Agualva-Cacém
58.0,unknown,divorced,high.school,unknown,no,no,cellular,may,fri,315.0,3,1,failure,no,unknown
25.0,technician,single,basic.9y,no,yes,no,cellular,may,fri,232.5,4,0,nonexistent,no,Rebordosa
41.0,admin.,unknown,high.school,no,yes,yes,cellular,apr,mon,254.0,1,0,nonexistent,no,Rio Tinto
30.0,admin.,single,high.school,no,yes,no,cellular,apr,wed,108.0,3,1,failure,no,Barreiro
34.0,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,218.0,1,0,nonexistent,no,Moura
70.0,housemaid,married,basic.4y,no,no,no,cellular,mar,thu,91.0,1,1,failure,no,Trofa
43.0,services,married,high.school,no,no,no,telephone,jun,fri,16.0,7,0,nonexistent,no,Agualva-Cacém
37.0,blue-collar,married,basic.4y,no,no,yes,cellular,apr,fri,125.0,4,0,nonexistent,no,Lixa
55.0,admin.,married,high.school,no,no,no,cellular,aug,wed,231.0,4,0,nonexistent,no,Almada
53.0,admin.,married,professional.course,no,yes,no,cellular,apr,mon,476.0,3,0,nonexistent,no,Ílhavo
31.0,admin.,married,high.school,no,no,yes,telephone,may,thu,349.0,2,0,nonexistent,no,Ribeira Grande
42.0,admin.,married,university.degree,no,yes,no,cellular,aug,tue,130.0,2,0,nonexistent,no,Mealhada
57.0,technician,married,professional.course,unknown,no,no,cellular,aug,fri,232.5,4,0,nonexistent,no,Torres Vedras
51.0,admin.,divorced,university.degree,no,yes,no,telephone,may,thu,213.0,1,0,nonexistent,no,Agualva-Cacém
35.0,admin.,married,university.degree,no,yes,no,cellular,aug,fri,417.0,1,0,nonexistent,no,Beja
42.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,545.0,1,0,nonexistent,no,Alfena
30.0,unknown,married,professional.course,no,no,no,telephone,may,mon,232.5,6,0,nonexistent,no,unknown
36.0,blue-collar,married,basic.9y,no,no,no,cellular,apr,tue,232.5,1,0,nonexistent,no,Covilhã
28.0,admin.,single,unknown,no,yes,no,telephone,jun,thu,78.0,6,0,nonexistent,no,Santana
51.0,management,married,high.school,no,no,no,telephone,jun,wed,99.0,3,0,nonexistent,no,Olhão da Restauração
60.0,retired,divorced,high.school,unknown,yes,no,telephone,may,wed,398.0,4,0,nonexistent,no,Pinhel
25.0,services,divorced,unknown,no,yes,no,telephone,may,thu,147.0,1,0,nonexistent,no,Esposende
46.0,admin.,divorced,university.degree,no,yes,no,telephone,jul,mon,59.0,4,0,nonexistent,no,Vila Nova de Santo André
36.0,management,married,university.degree,no,yes,no,telephone,may,tue,133.0,1,0,nonexistent,no,Pinhel
43.0,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,340.0,1,0,nonexistent,no,Guarda
47.0,technician,married,professional.course,unknown,no,no,telephone,may,fri,261.0,6,0,nonexistent,no,Portalegre
47.0,housemaid,single,professional.course,no,yes,no,cellular,jun,mon,67.0,1,1,success,no,Santa Comba Dão
50.0,admin.,married,high.school,no,no,no,telephone,jun,wed,276.0,1,0,nonexistent,no,Almada
36.0,admin.,married,university.degree,no,yes,no,cellular,jul,tue,218.0,3,0,nonexistent,no,Almada
27.0,services,single,high.school,no,no,no,cellular,jul,thu,377.0,3,0,nonexistent,no,Lagoa
37.0,admin.,married,university.degree,unknown,no,no,cellular,jul,mon,332.0,1,0,nonexistent,no,Vendas Novas
27.0,admin.,married,high.school,no,yes,yes,cellular,may,thu,201.0,1,0,nonexistent,no,Odivelas
39.0,blue-collar,married,basic.6y,no,no,yes,cellular,may,wed,232.5,2,1,failure,no,Chaves
58.0,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon,498.0,1,0,nonexistent,no,Almada
27.0,unemployed,single,basic.4y,no,no,no,cellular,jun,tue,238.0,1,2,failure,no,Barreiro
42.0,management,married,high.school,no,yes,no,cellular,jul,fri,232.5,3,0,nonexistent,no,Peso da Régua
37.0,blue-collar,married,basic.4y,no,yes,no,cellular,nov,thu,138.0,1,0,nonexistent,no,Rio Tinto
45.0,services,married,professional.course,no,yes,no,cellular,aug,thu,125.0,4,0,nonexistent,no,Oliveira do Hospital
35.0,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,28.0,3,1,failure,no,Mêda
26.0,admin.,single,high.school,no,yes,no,cellular,mar,fri,454.0,1,0,nonexistent,no,Aveiro
41.0,admin.,married,university.degree,no,no,no,cellular,aug,fri,106.0,3,0,nonexistent,no,Guarda
88.0,retired,divorced,basic.4y,no,yes,yes,cellular,mar,wed,82.0,2,0,nonexistent,no,Vila Franca de Xira
74.0,retired,married,professional.course,no,yes,no,cellular,oct,thu,96.0,2,1,success,no,Câmara de Lobos
44.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,may,thu,148.0,5,0,nonexistent,no,Ribeira Grande
30.0,technician,married,basic.9y,no,yes,no,cellular,jul,wed,161.0,1,0,nonexistent,no,Évora
30.0,self-employed,married,unknown,no,no,no,telephone,jun,fri,232.5,2,0,nonexistent,no,Sines
33.0,blue-collar,married,professional.course,no,yes,no,cellular,jun,wed,88.0,1,0,nonexistent,no,Ermesinde
47.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,489.0,1,0,nonexistent,no,Gondomar
43.0,technician,single,professional.course,no,yes,no,cellular,jul,tue,64.0,3,0,nonexistent,no,Mangualde
59.0,entrepreneur,married,basic.9y,no,no,no,telephone,may,thu,200.0,4,0,nonexistent,no,Oliveira do Hospital
30.0,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,232.5,1,0,nonexistent,no,Agualva-Cacém
43.0,technician,single,professional.course,no,yes,no,telephone,may,mon,138.0,8,0,nonexistent,no,Santa Comba Dão
59.0,services,married,high.school,unknown,yes,no,cellular,jul,wed,232.5,3,0,nonexistent,no,Figueira da Foz
49.0,unknown,unknown,unknown,unknown,yes,yes,cellular,jul,mon,49.0,9,0,nonexistent,no,Maia
28.0,self-employed,single,university.degree,no,yes,no,telephone,jun,mon,73.0,2,0,nonexistent,no,Portimão
32.0,admin.,single,high.school,no,no,yes,telephone,jun,fri,232.5,2,0,nonexistent,no,Gafanha da Nazaré
37.0,unemployed,married,university.degree,unknown,unknown,unknown,telephone,may,wed,302.0,2,0,nonexistent,no,Fátima
36.0,technician,single,professional.course,no,no,no,cellular,may,wed,45.0,1,0,nonexistent,no,Trancoso
26.0,student,single,basic.9y,no,yes,yes,cellular,mar,mon,232.5,4,1,failure,no,Gouveia
41.0,services,married,basic.9y,no,yes,no,telephone,may,wed,251.0,3,0,nonexistent,no,Tondela
36.0,blue-collar,married,basic.4y,unknown,no,no,cellular,apr,tue,232.5,2,0,nonexistent,no,Oliveira do Bairro
32.0,unknown,married,basic.4y,unknown,yes,no,telephone,may,wed,223.0,1,0,nonexistent,no,unknown
38.0,technician,married,basic.6y,unknown,no,yes,telephone,jun,mon,232.5,6,0,nonexistent,no,Esmoriz
24.0,blue-collar,single,unknown,no,yes,no,cellular,may,thu,487.0,2,0,nonexistent,no,Oliveira do Bairro
45.0,admin.,married,university.degree,unknown,no,no,telephone,may,tue,209.0,1,0,nonexistent,no,Miranda do Douro
27.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,86.0,1,1,failure,no,Rio Tinto
45.0,blue-collar,divorced,professional.course,unknown,yes,no,cellular,jul,wed,74.0,1,0,nonexistent,no,Albufeira
21.0,blue-collar,unknown,basic.9y,no,yes,no,cellular,may,mon,239.0,2,0,nonexistent,no,Viseu
42.0,services,married,high.school,no,yes,no,telephone,may,fri,128.0,1,0,nonexistent,no,Freamunde
57.0,services,divorced,basic.4y,no,no,no,cellular,may,thu,161.0,6,0,nonexistent,no,Oliveira do Bairro
29.0,services,unknown,basic.9y,no,no,no,telephone,may,fri,703.0,4,0,nonexistent,no,Barreiro
39.0,services,married,university.degree,no,yes,no,cellular,apr,thu,369.0,1,0,nonexistent,no,Seixal
31.0,blue-collar,single,unknown,no,yes,yes,telephone,jun,mon,325.0,3,0,nonexistent,no,Esmoriz
43.0,technician,single,university.degree,no,yes,no,telephone,may,wed,255.0,2,0,nonexistent,no,Rio Tinto
